id,"name",location_type,"street","city","state","zip","phone",latitude,longitude,"created_at","updated_at"
13,"UPMC Corporate Health Program",2,"339 Sixth Avenue","Pittsburgh","PA","15222","412.560.8765",40.442,-79.9982,"2018-04-20 22:15:42","2018-04-20 22:34:44"
14,"Health Mark Center, LLC.",2,"4700 East Iliff Avenue","Denver","CO","80222","303.584.5850",39.6745,-104.933,"2018-04-20 22:15:42","2018-04-20 22:34:45"
15,"Intermountain Murray WorkMed",2,"201 E. 5900 South","Murray","UT","84107","801.288.4900",40.6428,-111.885,"2018-04-20 22:15:42","2018-04-20 22:34:46"
16,"Richmond Primary Care",2,"1800 Glenside Drive","Richmond","VA","23226","804.288.3001",37.6044,-77.5258,"2018-04-20 22:15:42","2018-04-20 22:34:47"
17,"BaySport - Santa Clara",2,"3250 Central Expressway","Santa Clara","CA","95051","408.738.3200",37.3766,-121.986,"2018-04-20 22:15:42","2018-04-20 22:34:47"
18,"BaySport - San Francisco",2,"275 Battery Street","San Francisco","CA","94111","415.901.9090",37.7939,-122.4,"2018-04-20 22:15:42","2018-04-20 22:34:48"
19,"BaySport - Redwood City",2,"200 Redwood Shores Pkwy.","Redwood City","CA","94065","650.593.2800",37.5198,-122.251,"2018-04-20 22:15:42","2018-04-20 22:34:49"
20,"Providence Occupational Health Partners, St. John Health",2,"47601 Grand River Avenue","Novi","MI","48374","248.849.3959",42.4875,-83.5185,"2018-04-20 22:15:42","2018-04-20 22:34:50"
21,"Ochsner Clinic Foundation",2,"1514 Jefferson Highway","New Orleans","LA","70121","504.842.4927",29.9608,-90.1447,"2018-04-20 22:15:42","2018-04-20 22:34:51"
22,"Simi Doctors Medical Clinic",2,"2840 East Los Angeles Avenue","Simi Valley","CA","93065","805.526.8360",34.2713,-118.74,"2018-04-20 22:15:42","2018-04-20 22:34:52"
23,"Primary Care Associates",2,"4100 Lake Otis Parkway","Anchorage","AK","99508","907.562.1234",61.183,-149.841,"2018-04-20 22:15:42","2018-04-20 22:34:52"
24,"BaySport - Los Gatos",2,"14830 Los Gatos Blvd.","Los Gatos","CA","95032","408.395.7300",37.2528,-121.952,"2018-04-20 22:15:42","2018-04-20 22:41:31"
25,"Padmaja M. Patel, MD, PA",2,"4214 Andrews  Hwy.","Midland","TX","79703","432.689.0291",32.0046,-102.135,"2018-04-20 22:15:42","2018-04-20 22:34:54"
26,"Straub Occupational Health Services",2,"800 South King Street","Honolulu","HI","96813","808.529.4957",21.303,-157.852,"2018-04-20 22:15:42","2018-04-20 22:34:54"
27,"Keck Medical Center of USC-Downtown",2,"830 S. Flower Street","Los Angeles","CA","90017","213.437.1000",34.0464,-118.261,"2018-04-20 22:15:42","2018-04-20 22:41:32"
28,"Highland Clinic",2,"1455 East Bert Kouns Industrial Loop","Shreveport","LA","71135","318 798 4577",32.4253,-93.717,"2018-04-20 22:15:42","2018-04-20 22:34:56"
29,"Ochsner Family Doctor Clinic of Mathews",2,"111 Acadia Drive","Raceland","LA","70394","985.537.2631",29.7012,-90.5644,"2018-04-20 22:15:42","2018-04-20 22:34:57"
30,"Anil George, MD",2,"915 West Monroe Street","Jacksonville","FL","32204","904.365.8752",30.3314,-81.6685,"2018-04-20 22:15:42","2018-04-20 22:34:57"
31,"Northampton Medical Associates",2,"602 B East 21st Street","Northampton","PA","18067","610.262.1519",40.6935,-75.491,"2018-04-20 22:15:42","2018-04-20 22:34:58"
32,"Blackhawk Medical Group",2,"4165 Blackhawk Plaza Circle","Danville","CA","94506","925.736.7070 Ext. 127",37.7991,-121.917,"2018-04-20 22:15:42","2018-04-20 22:34:59"
33,"First Charlotte Physicians",2,"210 East Trade Street","Charlotte","NC","28202","704.617.0952",35.2254,-80.842,"2018-04-20 22:15:42","2018-04-20 22:35:00"
34,"Tri Health Executive Health",2,"3219 Clifton Avenue","Cincinnati","OH","45220","513.862.2843",39.1399,-84.5216,"2018-04-20 22:15:42","2018-04-20 22:35:01"
35,"USF Health Morsani Center for Advanced Healthcare",2,"13330 USF Laurel Drive","Tampa","FL","33612","813.974.1794",28.0671,-82.419,"2018-04-20 22:15:42","2018-04-20 22:41:33"
36,"Premier Family Health Care",2,"3300 Buena Vista Road","Bakersfield","CA","93311","661.664.1682",35.3236,-119.127,"2018-04-20 22:15:42","2018-04-20 22:41:34"
37,"Wellness Alliance",2,"Millennium Park Plaza #15 - Second Street","Guaynabo","PR","00968-1743","787.708.6777",18.4158,-66.1065,"2018-04-20 22:15:42","2018-04-20 22:41:35"
38,"Hamilton Medical Group",2,"4809 Ambassador Caffery Parkway","Lafayette","LA","70508","337.988.8810",30.1505,-92.0372,"2018-04-20 22:15:42","2018-04-20 22:35:03"
39,"West Michigan Family Medicine",2,"1550 3 Mile Road NW","Grand Rapids","MI","49544","616.785.3883",43.0145,-85.7066,"2018-04-20 22:15:42","2018-04-20 22:41:36"
40,"West Plano Medical Associates",2,"3060 Communications Parkway","Plano","TX","75093","972.312.8429",33.042,-96.8322,"2018-04-20 22:15:42","2018-04-23 20:23:58"
41,"Gerard W. Boynton, MD - Doctors' Medical Building",2,"3301 South Alameda Street","Corpus Christi","TX","78411","361.452.2480",27.754,-97.3887,"2018-04-20 22:15:42","2018-04-20 22:35:04"
42,"Robert C. Ammlung, MD, PA",2,"516  N. Rolling Road","Catonsville","MD","21228","410.788.0383",39.2807,-76.755,"2018-04-20 22:15:42","2018-04-20 22:41:37"
43,"Adventist Health Medical Group Occupational Medicine",2,"1350 NE 122nd Ave","Portland","OR","97230","503.408.7040",45.5326,-122.537,"2018-04-20 22:15:42","2018-04-20 22:41:38"
44,"Kettering Medical Center",2,"3535 Southern Boulevard","Kettering","OH","45429","937.395.8173",39.6967,-84.1923,"2018-04-20 22:15:42","2018-04-20 22:35:06"
45,"Osler Medical Center",2,"7600 Osler Drive","Towson","MD","21204","410.337.2021",39.3881,-76.6139,"2018-04-20 22:15:42","2018-04-20 22:35:07"
46,"Doctors of Internal Medicine",2,"5941 Dallas Parkway","Plano","TX","75093","972.758.4455 x 4197",33.0536,-96.8312,"2018-04-20 22:15:42","2018-04-20 22:41:39"
47,"Tupelo Medical Group",2,"1265 Cliff Gookin Blvd.","Tupelo","MS","38801","662.407.2528",34.2241,-88.7512,"2018-04-20 22:15:42","2018-04-20 22:41:40"
48,"Keith A. Gray, MD, PA",2,"100 West Gore Street","Orlando","FL","32806","407.423.9920",28.5308,-81.38,"2018-04-20 22:15:42","2018-04-20 22:41:40"
49,"PrivaMedis, LLC",2,"4308 Alton Road","Miami Beach","FL","33140","305.604.2888",25.8149,-80.1405,"2018-04-20 22:15:42","2018-04-20 22:41:41"
50,"St. Elizabeth-Business Health Edgewood",2,"200 Medical Village Drive","Edgewood","KY","41017","859.301.2992",39.0131,-84.5645,"2018-04-20 22:15:42","2018-04-20 22:41:42"
51,"Donna H. Canney, MD, PhD",2,"222 E. Washington Avenue","Navasota","TX","77868","936.825.1721",30.3883,-96.0882,"2018-04-20 22:15:42","2018-04-20 22:41:43"
52,"Woodlands Internists",2,"150 Pine Forest Dr","The Woodlands","TX","77384","936.273.2016",30.1887,-95.4579,"2018-04-20 22:15:42","2018-04-20 22:41:44"
53,"Riverside Family Medicine",2,"3129 Blattner Drive","Cape Girardeau","MO","63703","573.335.0166",37.2938,-89.5702,"2018-04-20 22:15:42","2018-04-20 22:35:09"
54,"Holy Cross HealthPlex",2,"1000 NE 56th Street","Fort Lauderdale","FL","33334","954.771.8000",26.1958,-80.133,"2018-04-20 22:15:42","2018-04-20 22:41:44"
55,"Richardson Primary Care Clinic",2,"2821 East President George Bush Highway","Richardson","TX","75082","972.437.9210",32.9962,-96.6676,"2018-04-20 22:15:42","2018-04-20 22:41:45"
56,"Greenville Medical Associates",2,"545 West Butler Road","Greenville","SC","29607","864.299.1990",34.7747,-82.3239,"2018-04-20 22:15:42","2018-04-20 22:35:11"
57,"Summit Primary Care",2,"3939 Central Pike","Hermitage","TN","37076","615.883.2331",36.1748,-86.6035,"2018-04-20 22:15:42","2018-04-20 22:41:46"
58,"Perspective Health and Wellness",2,"4525 Cameron Valley Parkway","Charlotte","NC","28211","704.512.3800",35.1472,-80.8245,"2018-04-20 22:15:42","2018-04-20 22:41:47"
59,"Woodhill Family Medicine",2,"813 Leesburg Road","Columbia","SC","29209","803.783.4433",33.9764,-80.9528,"2018-04-20 22:15:42","2018-04-20 22:41:48"
60,"Texas Internal Medicine Associates",2,"8210 Walnut Hill Lane","Dallas","TX","75231","214.368.7787",32.8818,-96.7611,"2018-04-20 22:15:42","2018-04-20 22:41:48"
61,"Occupational Medicine Consultants",2,"6515 Barrie Road","Edina","MN","55435","952.920.5663",44.8852,-93.3229,"2018-04-20 22:15:42","2018-04-20 22:41:49"
62,"City Docs",2,"2891 Matlock Road","Mansfield","TX","76063","817.225.1840",32.605,-97.1152,"2018-04-20 22:15:42","2018-04-20 22:41:50"
63,"Lourdes Physician Group",2,"3824 NE Evangeline Thruway","Carencro","LA","70520","337.470.3280",30.3199,-92.032,"2018-04-20 22:15:42","2018-04-20 22:35:14"
64,"Claudia G. Mercado, MD",2,"1405 Jacaman Road","Laredo","TX","78041","956.727.3047",27.5618,-99.4727,"2018-04-20 22:15:42","2018-04-20 22:35:15"
65,"Aspen Leaf Internal Medicine",2,"751 Horizon Court","Grand Junction","CO","81506","970.242.4145",39.1133,-108.535,"2018-04-20 22:15:42","2018-04-20 22:41:51"
66,"San Antonio Wellness Institute",2,"8122 Datapoint Dr.","San Antonio","TX","78229","210.615.0600",29.5156,-98.5686,"2018-04-20 22:15:42","2018-04-20 22:35:16"
67,"Bethany Medical Clinic-Dr. Smith",2,"1580 Skeet Club Road","High Point","NC","27265","336.883.0029",36.0314,-79.9712,"2018-04-20 22:15:42","2018-04-20 22:35:17"
68,"Adventist Bolingbrook Hospital-Executive Health Department",2,"500 Remington Blvd.","Bolingbrook","IL","60440","630.312.2007",41.6807,-88.0836,"2018-04-20 22:15:42","2018-04-20 22:35:18"
69,"ProPartnersMD",2,"4501 College Boulevard","Leawood","KS","66211","913.451.4776",38.9268,-94.6379,"2018-04-20 22:15:42","2018-04-20 22:35:19"
70,"Ochsner Clinic Baton Rouge",2,"9001 Summa Ave.","Baton Rouge","LA","70809","225.761.5764",30.3929,-91.092,"2018-04-20 22:15:42","2018-04-20 22:35:20"
71,"David Abrams, MD",2,"18370 Burbank Blvd.","Tarzana","CA","91356","818.385.1018",34.1705,-118.533,"2018-04-20 22:15:42","2018-04-20 22:35:20"
72,"Spring Valley Internal Medicine",2,"4910 Massachusetts Avenue Northwest","Washington","DC","20016","202.244.0812",38.9461,-77.0977,"2018-04-20 22:15:42","2018-04-23 20:23:59"
73,"Boyd Internal Medicine, P.C.",2,"2022 Brookwood Medical Center Drive","Birmingham","AL","35209","205.877.2884",33.4642,-86.7764,"2018-04-20 22:15:42","2018-04-20 22:35:22"
74,"PMA Medical Specialists, LLC",2,"78 Second Avenue","Collegeville","PA","19426","610.409.9999",40.183,-75.4502,"2018-04-20 22:15:42","2018-04-20 22:35:22"
75,"Internal Medicine & Family Physicians",2,"17030 Lakeside Hills Plaza","Omaha","NE","68130","402.758.5800",41.2362,-96.1796,"2018-04-20 22:15:42","2018-04-20 22:41:52"
76,"Romeo P. Papica II, MD, PA",2,"3413 Caldera Boulevard","Midland","TX","79707","432.689.3136",32.036,-102.132,"2018-04-20 22:15:42","2018-04-20 22:35:24"
77,"Christopher W. Ley, MD",2,"148 West River Street","Providence","RI","02904","401.572.3887",41.8437,-71.4146,"2018-04-20 22:15:42","2018-04-20 22:35:25"
78,"Broken Arrow Family Practice",2,"817 South Elm Place","Broken Arrow","OK","74012","918.251.2273",36.0441,-95.7967,"2018-04-20 22:15:42","2018-04-20 22:35:25"
79,"Scottsdale Private Physicians - Dr. Scott Bernstein, MD",2,"9458 East Ironwood Square Drive","Scottsdale","AZ","85258","480.767.7699",33.5782,-111.877,"2018-04-20 22:15:42","2018-04-20 22:35:26"
80,"Scottsdale Private Physicians - Dr. Helene Wechsler, MD",2,"10900 North Scottsdale Road, Suite 104","Scottsdale","AZ","85254","480.990.1564",33.5862,-111.927,"2018-04-20 22:15:42","2018-04-20 22:35:27"
81,"Newport Center Medical Group",2,"400 Newport Center Drive","Newport Beach","CA","92660","949.644.3559",33.6142,-117.872,"2018-04-20 22:15:42","2018-04-20 22:35:28"
82,"Northeast Tarrant Internal Medicine Associates",2,"479 Westpark Way","Euless","TX","76040","817.283.2888",32.8317,-97.1192,"2018-04-20 22:15:42","2018-04-20 22:35:29"
83,"Health Dynamics",2,"377 West River Woods Parkway","Glendale","WI","53212","414.443.0200",43.0972,-87.9112,"2018-04-20 22:15:42","2018-04-20 22:35:30"
84,"Speck Health",2,"805 Madison St.","Seattle","WA","98104","206.466.5936",47.6077,-122.328,"2018-04-20 22:15:42","2018-04-20 22:41:53"
85,"Personal Care Physicians, LLC",2,"501 Farmington Avenue","Farmington","CT","06030","860.674.4334",41.7263,-72.8041,"2018-04-20 22:15:42","2018-04-20 22:35:31"
86,"Sora Medical Clinic",2,"280 Legacy Drive","Plano","TX","75023","972.517.2171",33.0676,-96.6976,"2018-04-20 22:15:42","2018-04-20 22:35:32"
87,"Horn Lake Family Practice",2,"3102 Goodman Road West","Horn Lake","MS","38637","662.342.6677",34.9631,-90.0482,"2018-04-20 22:15:42","2018-04-20 22:35:33"
88,"Insight Primary Care",2,"2373 Central Park Blvd.","Denver","CO","80238","303.377.2494",39.7512,-104.89,"2018-04-20 22:15:42","2018-04-20 22:35:34"
89,"Epitomedical",2,"8859 West Flamingo Road","Las Vegas","NV","89147","702.419.3482",36.1142,-115.285,"2018-04-20 22:15:42","2018-04-20 22:35:35"
90,"City Docs - Fort Worth",2,"3020 W 7th Street","Fort Worth","TX","76107","817.225.1840",32.7519,-97.3607,"2018-04-20 22:15:42","2018-04-20 22:35:36"
91,"Pacific Wellness Center",2,"975 Garnet Ave","San Diego","CA","92109","858.230.7770",32.7971,-117.252,"2018-04-20 22:15:42","2018-04-20 22:35:37"
92,"Diamond Physicians - Frisco",2,"4060 Legacy Dr.","Frisco","TX","75034","214.945.3621",33.1133,-96.8379,"2018-04-20 22:15:42","2018-04-20 22:35:37"
93,"Total Access Medical, LLC",2,"418 E Lancaster Avenue","St. Davids","PA","19087","610.688.8788",40.0429,-75.3764,"2018-04-20 22:15:42","2018-04-20 22:35:38"
94,"Howard University Hospital",2,"2041 Georgia Avenue NW","Washington","DC","20060","202.865.3399",38.9175,-77.0204,"2018-04-20 22:15:42","2018-04-20 22:35:39"
95,"Internal Medicine of St. Luke's, LLC",2,"121 St. Lukes Center Drive","Chesterfield","MO","63017","314.205.6907 ",38.6549,-90.5096,"2018-04-20 22:15:42","2018-04-20 22:35:40"
96,"Elevation Physicians",2,"1050 Iron Point Rd","Folsom","CA","95630","916.597.2340",38.6433,-121.179,"2018-04-20 22:15:42","2018-04-20 22:35:41"
97,"Advanced Family Medicine",2,"2007 152 Avenue NE","Redmond","WA","98052","425.453.6838",47.6279,-122.138,"2018-04-20 22:15:42","2018-04-20 22:35:42"
98,"Clifford Family Practice, LLC",2,"660 Cherokee St NE","Marietta","GA","30060","678.388.1355",33.9678,-84.5473,"2018-04-20 22:15:42","2018-04-20 22:35:42"
99,"Dunwoody Village Clinic P.C.",2,"5471 Chamblee Dunwoody Road","Dunwoody","GA","30338","770.481.0889",33.9482,-84.3342,"2018-04-20 22:15:42","2018-04-20 22:35:43"
100,"Columbia Primary Care Associates",2,"1605 East Broadway","Columbia","MO","65201","573.815.8155",38.9507,-92.315,"2018-04-20 22:15:42","2018-04-20 22:35:44"
101,"Wake Family Medicine",2,"1000 Darrington Drive, Suite 104","Cary","NC","27513","919.380.1849",35.7997,-78.8145,"2018-04-20 22:15:42","2018-04-20 22:35:45"
102,"Crittenton Hospital Medical Center - Executive Health",2,"1101 W. University Dr.","Rochester","MI","48307","248.849.3959",42.6807,-83.1493,"2018-04-20 22:15:42","2018-04-20 22:35:46"
103,"Shelton Hospitalist Group LLC",2,"315 Boulevard NE","Atlanta","GA","30312","678.705.2355",33.763,-84.3714,"2018-04-20 22:15:42","2018-04-20 22:35:47"
104,"Premier Physicians",2,"25200 Center Ridge Road","Westlake","OH","44145","216.522.9100",41.4573,-81.8992,"2018-04-20 22:15:42","2018-04-20 22:35:48"
105,"MedCenter 100",2,"625 N. Pottstown Pike","Exton","PA","19341","610.903.0645",40.0514,-75.6366,"2018-04-20 22:15:42","2018-04-20 22:35:49"
106,"Lafferty Family Care",2,"1706 SE Walton Boulevard","Bentonville","AR","72712","479.464.0400",36.3347,-94.1894,"2018-04-20 22:15:42","2018-04-20 22:35:52"
107,"Total Access Medical - Mt. Laurel",2,"3814 Church Road","Mt. Laurel","NJ","08054","856.231.9792",39.9279,-74.9695,"2018-04-20 22:15:42","2018-04-20 22:35:53"
108,"ExecuCare of Liberty Hospital",2,"8300 North Church Road","Kansas City","MO","64158","816.792.7082 ",39.242,-94.4623,"2018-04-20 22:15:42","2018-04-20 22:35:54"
109,"Cheryl Black, MD",2,"4205 McAuley Boulevard","Oklahoma City","OK","73120","405.751.6111",35.6065,-97.5992,"2018-04-20 22:15:42","2018-04-20 22:35:55"
110,"North Memorial Health Care",2,"15450 Highway 7","Minnetonka","MN","55345","763.581.3331",44.9213,-93.4762,"2018-04-20 22:15:42","2018-04-20 22:35:56"
111,"Wellness Clinic for Executive Health, PLLC",2,"5656 Bee Caves Road","Austin","TX","78746","512.766.3650",30.2956,-97.8251,"2018-04-20 22:15:42","2018-04-20 22:35:57"
112,"Health Associates",2,"2700 Quarry Lake Drive","Baltimore","MD","21209","410.484.8600",39.3844,-76.6915,"2018-04-20 22:15:42","2018-04-20 22:35:57"
113,"Family Medicine",2,"3008 Dawn Drive","Georgetown","TX","78628","512.863.4597",30.6644,-97.6914,"2018-04-20 22:15:42","2018-04-20 22:41:54"
114,"Ninth Street Internal Medicine",2,"805 Locust Street","Philadelphia","PA","19107","215.440.8681",39.9473,-75.1553,"2018-04-20 22:15:42","2018-04-20 22:35:59"
115,"Washington Occupational Health Associates",2,"1140 19th St., N.W.","Washington","DC","20036","202.463.6698",38.9051,-77.0437,"2018-04-20 22:15:42","2018-04-23 20:24:00"
116,"Nourish Wellness Family Medicine, LLC",2,"826 West 64th Street","Indianapolis","IN","46260","317.524.2266",39.8723,-86.1742,"2018-04-20 22:15:42","2018-04-20 22:36:00"
117,"Alpine Internal Medicine",2,"1060 East 100 South","Salt Lake City","UT","84102","801.328.1260",40.7668,-111.86,"2018-04-20 22:15:42","2018-04-20 22:41:55"
118,"Barnard Medical Center",2,"5100 Wisconsin Avenue NW","Washington","DC","20016","202.527.7500",38.9564,-77.084,"2018-04-20 22:15:42","2018-04-20 22:41:56"
119,"Patrick Peters, MD - Huebner Medical Center",2,"9150 Huebner Road","San Antonio","TX","78240","210.521.7676",29.527,-98.595,"2018-04-20 22:15:42","2018-04-20 22:41:57"
120,"Southwest Family Medicine Associates",2,"8877 Harry Hines Boulevard","Dallas","TX","75235","214.393.2940",32.8387,-96.8681,"2018-04-20 22:15:42","2018-04-20 22:36:01"
121,"The Atlanta Internists-Dr. Capo",2,"1100 Johnson Ferry Road NE","Atlanta","GA","30342","404.303.8651",33.907,-84.3494,"2018-04-20 22:15:42","2018-04-20 22:36:02"
122,"The Atlanta Internists - Dr. Fitzgerald",2,"1100 Johnson Ferry Road NE","Atlanta","GA","30342","404.303.8651",33.907,-84.3494,"2018-04-20 22:15:42","2018-04-20 22:36:03"
123,"Empire Medical Associates",2,"55 Morris Avenue","Springfield","NJ","07081","973.376.0540",40.7087,-74.3045,"2018-04-20 22:15:42","2018-04-20 22:36:04"
124,"Astrahealth Centers-Bayonne",2,"564 Broadway","Bayonne","NJ","07002","201.468.8888",40.6661,-74.116,"2018-04-20 22:15:42","2018-04-20 22:36:04"
125,"Cape Fear Family Medical Care",2,"405 Owen Drive","Fayetteville","NC","28304","910.323.3183",35.0386,-78.9329,"2018-04-20 22:15:42","2018-04-20 22:36:05"
126,"Sentara BelleHarbour / SMG Occupational Medicine",2,"3920 Bridge Road","Suffolk","VA","23435","757.983.0080",36.8646,-76.4499,"2018-04-20 22:15:42","2018-04-23 20:24:01"
127,"Priority Physicians",2,"13914 Southeastern Parkway","Fishers","IN","46037","317.415.9900",39.9896,-85.9163,"2018-04-20 22:15:42","2018-04-20 22:41:58"
128,"Joseph Barry, MD",2,"5415 West Genesee Street","Camillus","NY","13031","315.410.0651",43.0401,-76.2765,"2018-04-20 22:15:42","2018-04-20 22:41:59"
129,"April M. Thomson, D.O. PLLC",2,"2800 S. Seacrest Boulevard","Boynton Beach","FL","33435","561.369.1101",26.5033,-80.0686,"2018-04-20 22:15:42","2018-04-20 22:42:00"
130,"Stoll Medical Group",2,"1528 Walnut Street","Philadelphia","PA","19102","267.273.1196",39.9495,-75.1674,"2018-04-20 22:15:42","2018-04-23 20:24:01"
131,"Premier Medicine & Wellness, Monroe",2,"8 Centre Drive","Monroe Township","NJ","08831","609.655.2411",40.3408,-74.4607,"2018-04-20 22:15:42","2018-04-23 20:24:02"
132,"Premier Medicine & Wellness, Bordentown",2,"231 Crosswicks Road","Bordentown","NJ","08505","609.298.7204",40.144,-74.6925,"2018-04-20 22:15:42","2018-04-20 22:42:02"
133,"Bluegrass Family Wellness",2,"6225 W Highway 146","Crestwood","KY","40014","502.822.3499",38.3384,-85.4652,"2018-04-20 22:15:42","2018-04-20 22:36:08"
134,"New Jersey Associates in Medicine",2,"31-00 Broadway","Fair Lawn","NJ","07410","201.796.2255",40.9241,-74.105,"2018-04-20 22:15:42","2018-04-23 20:24:03"
135,"Cherry Hill Associates in Internal Medicine",2,"1401 NJ-70","Cherry Hill","NJ","08034","856.479.9400",39.9102,-74.993,"2018-04-20 22:15:42","2018-04-23 20:24:04"
136,"Delran Family Practice",2,"8008 US-130","Delran","NJ","08075","856.764.7997",40.0237,-74.9376,"2018-04-20 22:15:42","2018-04-23 20:24:05"
137,"Empire Medical Associates - Maplewood",2,"264 Boyden Avenue","Maplewood","NJ","07040","973.761.5200",40.7222,-74.2545,"2018-04-20 22:15:42","2018-04-20 22:36:10"
138,"Ferguson Medical Group",2,"1012 North Main Street","Sikeston","MO","63801","573.471.0330",36.8905,-89.5852,"2018-04-20 22:15:42","2018-04-20 22:42:03"
139,"Sneh Jain, MD",2,"900 Route 168","Blackwood","NJ","08012","856.232.6500",39.7779,-75.0519,"2018-04-20 22:15:42","2018-04-20 22:36:11"
140,"Astrahealth Centers - Piscataway",2,"1100 Centennial Avenue","Piscataway","NJ","08854","732.981.1111",40.551,-74.4591,"2018-04-20 22:15:42","2018-04-20 22:42:04"
141,"RWJPE-Comprehensive Family Medicine",2,"8 Mountain Blvd","Warren","NJ","07059","(908) 222.7777",40.6212,-74.483,"2018-04-20 22:15:42","2018-04-23 20:24:05"
142,"SSM Health Medical Group - Occupational Medicine",2,"2511 W. Edgewood Drive","Jefferson City","MO","65109","573.761.0458",38.5702,-92.2197,"2018-04-20 22:15:42","2018-04-23 20:24:06"
143,"Excelcare Alliance, LLC",2,"1206 West Sherman Avenue","Vineland","NJ","08360","(856) 692.7700",39.4478,-75.0517,"2018-04-20 22:15:42","2018-04-23 20:24:07"
144,"RWJPE-Primary Care at Raritan",2,"34 East Somerset St.","Raritan","NJ","08869","(908)685.2532",40.5683,-74.6309,"2018-04-20 22:15:42","2018-04-20 22:42:06"
145,"Champlain Medical",2,"150 Kennedy Drive","South Burlington","VT","05403","802.448.9370",44.4556,-73.1631,"2018-04-20 22:15:42","2018-04-20 22:36:13"
146,"Capital Health Medical Center-Hopewell",2,"2 Capital Way","Pennington","NJ","08534","609.689.5755",40.292,-74.803,"2018-04-20 22:15:42","2018-04-23 20:24:08"
147,"Olga Zarkh, MD",2,"1401 West Dundee Road","Buffalo Grove","IL","60089","847.818.7700",42.1378,-87.9896,"2018-04-20 22:15:42","2018-04-20 22:36:15"
148,"Babylon Medical Practice",2,"350 W Main Street","Babylon","NY","11702","631.661.2277",40.693,-73.3332,"2018-04-20 22:15:42","2018-04-23 20:24:08"
149,"CareMedica Elite",2,"2200 Whitney Avenue","Hamden","CT","06518","203.672.0780",41.3768,-72.9048,"2018-04-20 22:15:42","2018-04-20 22:36:16"
150,"Primary Care Medicine",2,"2709 Industrial Drive","Jefferson City","MO","65109","573.635.2141",38.5942,-92.2226,"2018-04-20 22:15:42","2018-04-20 22:42:07"
151,"King of Prussia Family Medicine",2,"210 Mall Boulevard","King of Prussia","PA","19406","610.265.3266",40.0871,-75.397,"2018-04-20 22:15:42","2018-04-23 20:24:09"
152,"Premier Health Associates",2,"1631 NJ-88","Brick","NJ","08724","732.202.7456",40.0759,-74.1358,"2018-04-20 22:15:42","2018-04-20 22:36:17"
153,"Allied Medical Associates",2,"510 Hamburg Turnpike","Wayne","NJ","07470","973.942.6005",40.9539,-74.2115,"2018-04-20 22:15:42","2018-04-20 22:42:09"
154,"RWJBH-Marlboro Medical Group",2,"25 Kilmer Drive","Morganville","NJ","07751","732.385.5262",40.3397,-74.3093,"2018-04-20 22:15:42","2018-04-20 22:36:18"
155,"Heights Medical",2,"288 Boulevard","Hasbrouck Heights","NJ","07604","(201) 288.6781",40.8643,-74.0755,"2018-04-20 22:15:42","2018-04-20 22:36:19"
156,"Marcus Institute of Integrative Health - Villanova",2,"789 East Lancaster Avenue","Villanova","PA","19085","215.503.9070",40.0377,-75.3516,"2018-04-20 22:15:42","2018-04-20 22:36:20"
157,"Advanced Internal Medicine Group P.C.",2,"2200 Northern Boulevard","East Hills","NY","11548","516.352.8100",40.8061,-73.635,"2018-04-20 22:15:42","2018-04-20 22:36:21"
